SiteID,period,sen_richness,p_richness,mean_salinity,mean_organic,seg_id_nat,HFP_period,Protocol,HYBAS_ID,elevation,sen_temp,p_temp,mean_temp,mean_Q,zone,Longitude,Latitude
S1,2005_2018,NA,NA,NA,NA,20431645,46,Electrofishing_partialsection,2040023010,215,0.074939682367354,0.0626981162609825,12.372883516285931,990.6089562860718,Intermediate,7.549150427,47.82262
S1,1982_2004,0,0.575987822,899.9841419,39.72900789,20431645,45,Electrofishing_partialsection,2040023010,215,0.0273537161080128,0.1255701989229427,11.944266568900025,1031.6228321826975,Intermediate,7.549150427,47.82262
S100,1982_2004,0.833333333,0.308179547,1634.967667,36.20712447,20348442,29,Electrofishing,2040048790,44,0.040945494900929,0.0644965282504244,12.307294529935175,2.370202178785872,Intermediate,-0.028203955,51.00301
S100,2005_2018,-0.090909091,0.256130484,2430.164331,50.61529999,20348442,21,Electrofishing,2040048790,44,0.0114305719637931,0.7425568219265775,12.519729709530008,2.600736645798297,Intermediate,-0.028203955,51.00301
S10008,1982_2004,-0.083916084,0.245278117,388.829712,46.41179562,20266293,22,Electrofishing,2040048790,73,0.0282036873841722,0.0644965282504244,10.02249162000664,14.043880610053286,Intermediate,-3.065448786,54.26405
S10008,2005_2018,NA,NA,467.7046204,44.39819336,20266293,14,Electrofishing,2040048790,73,0.0037350495082219,1,10.120159180307754,13.922756948442418,Intermediate,-3.065448786,54.26405
S10009,1982_2004,0.090909091,0.296269871,164.4861298,30.88649813,20265478,20,Electrofishing,2040048790,115,0.0257215983639782,0.2244114837865725,9.601744939746736,12.064332597478266,Intermediate,-3.066560542,54.3665
S10009,2005_2018,NA,NA,175.106659,33.25203515,20265478,14,Electrofishing,2040048790,115,0.0150958238791693,0.8266659696701553,9.659084366053836,12.790733100282363,Intermediate,-3.066560542,54.3665
S10014,1982_2004,NA,NA,NA,NA,20347737,43,Electrofishing,2040048790,35,0.0288527191120553,0.090976463086059,11.72986647016805,4.373165149602925,Intermediate,-3.071465821,51.02609
S10014,2005_2018,0,0.783530498,600.1996307,58.84793329,20347737,43,Electrofishing,2040048790,35,0.04637790927306,0.511220344688192,11.849547406513045,4.144997491769128,Intermediate,-3.071465821,51.02609
S10015,1982_2004,0,0.211299547,148.2440316,0.839842286,20125512,3.526984,Electrofishing_backpack,2040028670,44,0.0240859561855081,0.2452110609976798,6.890650688912302,17.08332336454734,Cold,21.70723,62.257
S10015,2005_2018,-0.087121212,0.097789589,147.7683141,0.722131443,20125512,5.526984,Electrofishing_backpack,2040028670,44,-0.0134822602955946,0.6614159170078631,7.440262667927352,17.235577633131932,Cold,21.70723,62.257
S10021,1982_2004,0,0.288844366,161.9347031,15.01244984,20355440,30.75,Electrofishing,2040048790,59,0.0279843886140628,0.1015368339673374,11.954696734793352,3.234008873423184,Intermediate,-3.080339968,50.74303
S10021,2005_2018,-0.118055556,0.019964453,197.5215039,19.17095979,20355440,22.75,Electrofishing,2040048790,59,0.0396478279817673,0.5840703669455065,12.083371901908652,3.2387112853037765,Intermediate,-3.080339968,50.74303
S10024,1982_2004,NA,NA,105.2237091,1.285603881,20258815,11,Electrofishing,2040048790,262,0.0189849069497086,0.3417178800455669,9.400490408977015,8.36613143926829,Intermediate,-3.083781655,54.57594
S10024,2005_2018,0,0.288844366,106.5614044,1.377066422,20258815,11,Electrofishing,2040048790,262,0.0135939803092302,0.8266659696701553,9.450450460495473,8.283249360796356,Intermediate,-3.083781655,54.57594
S10027,1982_2004,NA,NA,NA,NA,20157734,25.436703,Electrofishing_backpack,2040028670,57,0.0089962181571586,0.3692092650321579,7.118739811176075,12.122226000772622,Cold,24.74351,60.3938
S10027,2005_2018,0,1,214.8736687,0.673738375,20157734,25.4367,Electrofishing_backpack,2040028670,57,-0.0133142319146573,0.3810744816092943,7.68817062434711,12.645628173457071,Cold,24.74351,60.3938
S10029,1982_2004,-0.5,0.540291375,280.6556905,44.12159475,20255867,21,Electrofishing,2040048790,275,0.0197064738689746,0.2907771692827272,9.386928047238047,5.851496662919223,Intermediate,-3.08846258,54.73976
S10029,2005_2018,0,0.008113117,313.9399844,57.72077526,20255867,16,Electrofishing,2040048790,275,0.0060888004574702,0.8266659696701553,9.413903167942664,6.023884724339814,Intermediate,-3.08846258,54.73976
S1003,2005_2018,0,0.48745329,175.7595202,18.42469855,20502893,32.629547,Electrofishing_partialsection,2040020320,872,0.0525379876691059,0.1888874775395375,10.545527206609265,6.349221401717078,Intermediate,3.061141767,45.05736
S1003,1982_2004,NA,NA,NA,NA,20502893,28.629547,Electrofishing_partialsection,2040020320,872,0.0171048013425183,0.2244114837865725,10.094616726155492,6.27628977118287,Intermediate,3.061141767,45.05736
S10032,1982_2004,NA,NA,364.203125,41.20228958,20255867,21,Electrofishing,2040048790,275,0.0197064738689746,0.2907771692827272,9.386928047238047,5.851496662919223,Intermediate,-3.090331377,54.74168
S10032,2005_2018,0.125,0.540291375,352.936849,64.99360657,20255867,16,Electrofishing,2040048790,275,0.0060888004574702,0.8266659696701553,9.413903167942664,6.023884724339814,Intermediate,-3.090331377,54.74168
S10035,1982_2004,0.038461538,0.020478587,540.0401192,42.51288939,20265478,14,Electrofishing,2040048790,101,0.0257215983639782,0.2244114837865725,9.601744939746736,12.064332597478266,Intermediate,-3.092746355,54.32203
S10035,2005_2018,0,0.15096232,547.6940399,39.84950066,20265478,14,Electrofishing,2040048790,101,0.0150958238791693,0.8266659696701553,9.659084366053836,12.790733100282363,Intermediate,-3.092746355,54.32203
S10037,1982_2004,NA,NA,128.2902222,20.48569632,20320872,24,Electrofishing,2040048790,244,0.0411091381997046,0.0346147634925027,11.00348849759206,16.566564350396757,Intermediate,-3.099541046,52.05666
S10037,2005_2018,NA,NA,118.7672654,12.30596519,20320872,16,Electrofishing,2040048790,244,0.0262986592345439,0.8266659696701553,11.143589095089483,16.85434047767676,Intermediate,-3.099541046,52.05666
S10038,1982_2004,0.083333333,0.271818443,148.8972836,1.006431542,20125511,8.765644,Electrofishing_backpack,2040028670,34,0.0220621022150846,0.3155727359639027,6.986386914629163,21.604779787115536,Cold,21.62033,62.23097
S10038,2005_2018,0,0.557419093,148.6278147,1.106541216,20125511,8.765644,Electrofishing_backpack,2040028670,34,-0.0189378092976082,0.6614159170078631,7.568183285417089,21.25302671121448,Cold,21.62033,62.23097
S10042,1982_2004,0,1,128.6654205,5.582552,20247196,18,Electrofishing,2040048790,248,0.0235334438240903,0.1255701989229427,9.023491489423696,13.422097538977184,Intermediate,-3.106003257,55.2388
S10042,2005_2018,0,0.154728923,127.8454174,1.622443221,20247196,13,Electrofishing,2040048790,248,0.013439829239458,0.8266659696701553,9.134620682635411,13.58975066040199,Intermediate,-3.106003257,55.2388
S10043,1982_2004,0,1,128.7362467,6.131262658,20247196,18,Electrofishing,2040048790,205,0.0235334438240903,0.1255701989229427,9.023491489423696,13.422097538977184,Intermediate,-3.10609236,55.22275
