period,zone,slope,SE,z,p,sig
early,All,0.03727535843900064,0.0026625549800475654,13.99984553120279,1.5620988595900338e-44,***
early,Cold,0.029307832955851237,0.00585991305828605,5.001410885168219,5.691227266801019e-7,***
early,Intermediate,0.03524751512114437,0.003366467906388276,10.470177082115649,1.1842126943391946e-25,***
early,Warm,0.05321887002972329,0.006380170897340235,8.341292245307907,7.348303904009607e-17,***
full,All,0.005774581883006013,0.001371007089815943,4.21192707601625,2.532012929298668e-5,***
full,Cold,-0.004527483944763353,0.002935339136005135,-1.5424057442728938,0.12297502655784524,
full,Intermediate,0.011403391634683537,0.0017668190514666827,6.4541932719240735,1.0879689091717862e-10,***
full,Warm,0.0021549289622606288,0.0031540509620165214,0.6832257906457191,0.49446417810377735,
late,All,-0.012998123280751492,0.002431011405863261,-5.3467965018188846,8.952457238587197e-8,***
late,Cold,-0.010548785700101088,0.005012452861261364,-2.1045156916341607,0.03533348728320262,*
late,Intermediate,-0.011579680803451247,0.003300026993994108,-3.5089654795326566,4.4985328846711825e-4,***
late,Warm,-0.019122117526244205,0.00508924485594431,-3.757358521256705,1.7171639269016032e-4,***
