period,zone,slope,SE,z,p,sig
early,All,0.02795490490500814,0.003029027224315992,9.229004176851152,2.731595486767107e-20,***
early,Cold,0.09832234152410514,0.007552839647190719,13.017930489319493,9.675783654375592e-39,***
early,Intermediate,-0.006321338416314535,0.0037763938689003534,-1.673908664128629,0.09414855115814871,
early,Warm,0.06392762286366235,0.006219694793110739,10.278257211989237,8.830996997705163e-25,***
full,All,0.006324680129908597,0.0016367163766198227,3.864249310543617,1.114313651035273e-4,***
full,Cold,0.07845619076089812,0.0037152025441654817,21.117607944177685,5.480043651325417e-99,***
full,Intermediate,-0.011703653326525336,0.0020566098005455687,-5.690750536840115,1.264821806788737e-8,***
full,Warm,0.0038142730640792475,0.0032362093489513187,1.1786237084183842,0.2385480467373651,
late,All,-0.020201648855413926,0.0028749024249736656,-7.026898958352986,2.1117417271248225e-12,***
late,Cold,0.03840238720878349,0.007041339843491066,5.453846577833083,4.929173435563034e-8,***
late,Intermediate,-0.03710568971004372,0.003945961198652542,-9.403460359091845,5.279749681123503e-21,***
late,Warm,-0.02032546714820463,0.005121287932322295,-3.9688194487022055,7.222958148348346e-5,***
