Species,MaxLength_cm,CommonLength_cm,MaxWeight_g,MaxAge_years,Fecundity_min,Phi_prime,Linf_cm,K,Lmax_cm,Tmax_years
Anguilla anguilla,122,35,6600,23,1000100,2.94,77.8,0.1,114.3285714,32.8
Gambusia holbrooki,4.7,,,,197,,,,5.36,1
Mugil cephalus,100,50,,16,1615916.286,2.9,59,0.2,70.53333333,11
Dicentrarchus labrax,103,50,12000,30,520228,3.15,78.5,0.2,76.96666667,16.4
Liza ramada,70,35,2900,10,186969.3684,2.57,45.9,0.2,50.66666667,7
Cyprinus carpio,120,31,40100,38,419955.8654,2.9,66.2,0.2,78.75882353,19.90909091
Chelon labrosus,75,32,4500,25,275,2.62,47.1,0.2,57.5,18.5
Ameiurus melas,66,26.6,3600,10,,,,,50,9.5
Micropterus salmoides,97,40,10100,23,34266,2.75,59.2,0.2,81,19.5
Lepomis gibbosus,40,9.9,630,12,2867.833333,1.68,18.5,0.1,34,7
Carassius auratus,48,10,1600,41,172000,2.38,28.9,0.3,32.9625,29.33333333
Alburnus alburnus,25,15,60,,4462.714286,2.32,20,0.5,16.07777778,5.75
Gobio lozanoi,13.5,,,,,,,,12,
Pomatoschistus microps,9,,,,984.5,1.57,11.2,0.3,5.5,2.3
Gasterosteus aculeatus,11,5.1,,8,330,1.93,6.9,1.8,9.74,4.433333333
Salaria fluviatilis,15.4,8,,5,533.3333333,,,,13,5
Sander lucioperca,100,50,20000,17,292459.5865,3.08,89.8,0.2,115,17
Esox lucius,137,40,28400,30,44193.65455,3.3,97.5,0.2,101.7666667,15
Cobitis taenia,13.5,5,,5,375,1.79,10.2,0.6,8.285,4.714285714
Misgurnus anguillicaudatus,28,15,,,1000,2.17,22.9,0.3,17.24125,4.25
Tinca tinca,70,20,7500,,114023.8333,2.55,54,0.1,43.68,12.33333333
Ictalurus melas,66,26.6,3600,10,,,,,50,9.5
Oncorhynchus mykiss,122,60,25900,11,3300,3.41,60.9,0.7,86.86666667,8
Salmo trutta,140,72,50000,38,609.1481481,2.66,40.6,0.3,72.4,10.86666667
Barbus haasi,30,,,,,2.23,44.9,0.1,25,
Silurus glanis,273,,130000,80,66869.27778,3.57,296,0,326.4285714,35.75
Achondrostoma arcasii,25,15,,,,1.68,13.3,0.3,10.4,
Luciobarbus graellsii,80,,,16,,,,,65,16
Barbus graelsii,,,,,,,,,,
Chondrostoma arcasii,25,15,,,,1.68,13.3,0.3,10.4,
Chondrostoma miegii,25,,,,,,,,25,
Squalius laietanus,13.5,,,,,,,,,
Barbus meridionalis,27,20,200,,6821.25,2.3,37.5,0.1,26.15,
Barbus plebejus,70,,6000,,4748.5,,,,60,
Leuciscus cephalus,60,30,8000,22,17114.90476,2.3,41.4,0.1,43,11
Padogobius martensii,8.6,,,,,,,,7.6,
Padogobius nigricans,12.5,,,,,1.84,9.7,0.7,8.4,4
Rutilus erythrophthalmus,26,,,7,,,,,,
Rutilus rubilio,18,,,6,9663.857143,1.93,26.2,0.1,20.32,6.833333333
Scardinius erythrophthalmus,61.7,20,0,19,28715.57895,2.01,30.8,0.1,38.23333333,14.33333333
Pseudorasbora parva,12.5,8,,5,971.5454545,1.53,11.8,0.2,10.07857143,3.666666667
Barbus barbus,120,30,12000,15,11000,2.41,71.4,0.1,62.76666667,14.16666667
Gobio gobio,21,12,220,8,2000,2.1,21.1,0.3,11.4375,6.5
Phoxinus bigerri,6.6,,,,,,,,,
Phoxinus phoxinus,14,7,,11,933.3333333,1.48,10.5,0.3,7.875,6.666666667
Telestes souffia,25,15,,,,,,,20,
Gymnocephalus cernua,25,12,400,10,79206.78571,2.05,18.7,0.3,24.5,8.75
Gymnocephalus cernuus,25,12,400,10,79206.78571,2.05,18.7,0.3,24.5,8.75
