SiteID,mean_salinity,mean_organic,seg_id_nat,Protocol,HYBAS_ID,elevation,zone,Longitude,Latitude,period,sen_temp,p_temp,mean_temp,temp_n_years,mean_Q,sen_richness,p_richness,HFP_period
S1,899.9841419,39.72900789,20431645,Electrofishing_partialsection,2040023010,215,Intermediate,7.549150427,47.82262,1982_2005,0.025616536,0.106899676,11.95228317,24,1025.94087,0,0.689548596,45
S1,,,20431645,Electrofishing_partialsection,2040023010,215,Intermediate,7.549150427,47.82262,2006_2018,0.090336312,0.076850872,12.39105416,13,997.9438197,,,46
S100,1952.194495,41.98991985,20348442,Electrofishing,2040048790,44,Intermediate,-0.028203955,51.00301,1982_2005,0.042371033,0.034998629,12.3339929,24,2.309765819,0.5,0.312216388,29
S100,2430.164331,50.61529999,20348442,Electrofishing,2040048790,44,Intermediate,-0.028203955,51.00301,2006_2018,0.048774748,0.502158252,12.48678157,13,2.730044884,-0.045454545,0.437641335,21
S10008,388.829712,46.41179562,20266293,Electrofishing,2040048790,73,Intermediate,-3.065448786,54.26405,1982_2005,0.034762733,0.027272737,10.0507718,24,13.97845004,,,22
S10008,467.7046204,44.39819336,20266293,Electrofishing,2040048790,73,Intermediate,-3.065448786,54.26405,2006_2018,0.042675113,0.582950558,10.0754625,13,14.03423465,,,14
S10009,164.4861298,30.88649813,20265478,Electrofishing,2040048790,115,Intermediate,-3.066560542,54.3665,1982_2005,0.031871936,0.118128495,9.625253958,24,12.03461191,,,20
S10009,175.106659,33.25203515,20265478,Electrofishing,2040048790,115,Intermediate,-3.066560542,54.3665,2006_2018,0.040609502,0.42771051,9.620093827,13,12.90147902,,,14
S10014,,,20347737,Electrofishing,2040048790,35,Intermediate,-3.071465821,51.02609,1982_2005,0.030320294,0.050048663,11.75415342,24,4.3159912,,,43
S10014,600.1996307,58.84793329,20347737,Electrofishing,2040048790,35,Intermediate,-3.071465821,51.02609,2006_2018,0.088199161,0.299665448,11.81391619,13,4.232998041,0,0.783530498,43
S10015,148.5125599,0.880256191,20125512,Electrofishing_backpack,2040028670,44,Cold,21.70723,62.257,1982_2005,0.032072838,0.106899676,6.92476784,24,17.11194994,0,1,3.526984
S10015,147.7683141,0.722131443,20125512,Electrofishing_backpack,2040028670,44,Cold,21.70723,62.257,2006_2018,-0.011922679,0.854777098,7.419555003,13,17.19444044,-0.118055556,0.076575954,5.526984
