SiteID,start_year,end_year,n_obs,Protocol,slope_richness,p_richness,slope_temp,p_temp,slope_flow,p_flow,Latitude,Longitude,seg_id_nat,elevation,HFP_mean,slope_salinity,p_salinity,slope_organic,p_organic,mean_salinity,mean_organic,mean_temp,mean_flow,geometry,HYBAS_ID,slope_LCBD,p_LCBD,slope_Fdis,p_Fdis,zone
S7805,1992,2018,18,Electrofishing_backpack,0,0.343878968,0.035385025,0.000851444,-0.042874852,0.769295888,65.96438,15.9588,20053284,703,0.25002304,0,0.65730262,4.62E-08,0.86754687,157.3097839,0,2.757636715,38.52518664,POINT (15.9588 65.96438),2040030110,-1.26E-06,0.028027113,,,Cold
S7637,1997,2018,19,Electrofishing_backpack,0,0.406594806,0.017901437,0.366879601,-0.161978449,0.520727677,65.45165,19.55758,20062744,327,0.75210476,1.13432094,0.004025088,-0.004176408,0.735080493,159.1471252,0.077941708,4.740250762,26.74840995,POINT (19.55758 65.45165),2040030110,1.03E-08,1,-0.014413333,0.677888069,Cold
S8321,1989,2018,27,Electrofishing_backpack,-0.25408113,0.005530611,0.015720301,0.124948817,-0.025695954,0.702235985,67.34325,22.00872,20032539,279,0.78561103,0.120068359,0.063529535,-0.000264913,0.914752339,162.1358337,0.13717404,3.861702232,182.9566409,POINT (22.00872 67.34325),2040030110,-6.31E-06,2.11E-05,-0.02749557,0.14622153,Cold
S7652,1986,2018,23,Electrofishing_backpack,0,0.630937653,0.020153328,0.02096204,-0.310192943,0.219292492,65.50972,19.44885,20062432,358,0.79672813,0.229652651,0.049092158,-0.004474248,0.485647247,158.5617981,0.218955353,4.58780576,43.20048988,POINT (19.44885 65.50972),2040030110,-3.10E-06,0.26732702,-0.032270923,0.043895852,Cold
S8387,1986,2018,30,Electrofishing_backpack,0,0.33781951,0.026401372,0.000965781,0.084564891,0.817045417,67.6705,22.68281,20027973,260,0.81220853,-0.000518163,0.987637742,-0.003287661,0.232842047,160.9316711,0.050004985,2.972071516,87.61488334,POINT (22.68281 67.6705),2040030100,-8.52E-06,2.29E-07,0.032088057,0.321016032,Cold
S8052,1993,2018,23,Electrofishing_backpack,0,0.054598005,0.034296674,0.017289749,0.572886705,0.573781588,66.44563,21.17969,20048116,243,0.8186836,0.021854176,0.894787104,-0.030592481,0.171758198,108.1445465,0.319524497,4.651070171,79.47524823,POINT (21.17969 66.44563),2040030110,-4.97E-06,0.003096711,-0.133196805,0.296269871,Cold
S8394,1992,2013,7,Electrofishing_backpack,0,0.439996267,0.041560369,0.001923659,-0.093037231,0.986973205,67.70464,23.16721,20027094,259,0.8186836,-0.000156948,0.023819309,-0.000130041,0.259354893,162.2296295,0.002876994,3.704468151,50.88250059,POINT (23.16721 67.70464),2040030100,-2.77E-06,0.016260937,,,Cold
S8471,1992,2018,8,Electrofishing_backpack,-0.192040971,0.208533596,0.031283901,0.002033178,1.759554049,0.227048217,67.91568,23.52296,20025037,216,0.86643994,0.353428432,0.027120958,-0.010054432,0.10393711,165.5156555,0.099123679,3.509490524,308.5814927,POINT (23.52296 67.91568),2040030100,-6.60E-06,0.10776229,,,Cold
S8053,1993,2018,22,Electrofishing_backpack,0,0.403674985,0.034296674,0.017289749,0.572886705,0.573781588,66.44898,21.1766,20048116,243,0.89647734,0.021854176,0.894787104,-0.030592481,0.171758198,108.1445465,0.319524497,4.651070171,79.47524823,POINT (21.1766 66.44898),2040030110,-3.68E-06,0.001306428,-0.146339733,0.308179547,Cold
S7563,1989,1999,5,Electrofishing_backpack,0,0.813755587,-0.018779273,0.755496875,0.086862207,0.931865041,65.27686,17.38148,20066550,442,0.89788264,-0.004882813,0.876269664,-0.000646171,0.876269664,157.4094391,5.25E-06,4.039565409,64.11065105,POINT (17.38148 65.27686),2040030110,-1.70E-05,0.462432726,,,Cold
S6537,1991,2018,15,Electrofishing_backpack,0,0.4000557,0.025786482,0.006029805,-0.112140645,0.372576276,62.029,13.48945,20128748,613,1.026984,0.128409831,0.213256487,0.002062296,0.766964491,157.699295,0.097716495,4.747264577,34.58371354,POINT (13.48945 62.029),2040031070,1.07E-07,0.843085229,,,Cold
S6538,1983,2018,30,Electrofishing_backpack,0,0.029722682,0.026724049,0.000340589,-0.066299405,0.393334099,62.02945,13.48979,20128748,613,1.026984,0.018598003,0.90243332,-0.026124569,0.010042892,157.8209381,0.121338472,4.607936738,34.61764455,POINT (13.48979 62.02945),2040031070,-9.85E-06,4.20E-10,-3.38E-05,1,Cold
S8065,1997,2018,18,Electrofishing_backpack,0,0.212832294,0.013348538,0.337694976,1.104452723,0.297111037,66.51782,21.10443,20044730,263,1.026984,0.078051758,0.498564387,-0.039608623,0.055179616,128.1531219,0.154032528,4.501563365,64.58202369,POINT (21.10443 66.51782),2040030110,-1.47E-07,0.939613698,,,Cold
S8391,1986,2018,32,Electrofishing_backpack,0,0.57765679,0.025723967,0.000864418,-0.115660641,0.736752738,67.69076,22.64488,20027651,285,1.1814853,-7.63E-06,1,-0.001671704,0.220930121,161.0764313,0.026819065,2.899722627,69.10346537,POINT (22.64488 67.69076),2040030100,-7.76E-06,3.25E-06,0.035904519,0.310044124,Cold
S7620,2003,2017,6,Electrofishing_backpack,0,0.664116225,-0.006550224,0.7665253,0.008314186,0.799191584,65.41702,17.8976,20063798,324,1.2396638,0.005224609,0.92115865,0.000915898,1,156.938446,0.02483456,4.774228205,57.89034001,POINT (17.8976 65.41702),2040030110,-3.00E-07,1,,,Cold
S7623,2003,2017,7,Electrofishing_backpack,0,0.336181068,-0.006550224,0.7665253,0.008314186,0.799191584,65.41918,17.89713,20063798,324,1.2396638,0.005224609,0.92115865,0.000915898,1,156.938446,0.02483456,4.774228205,57.89034001,POINT (17.89713 65.41918),2040030110,3.50E-07,0.763890593,,,Cold
S1609,2005,2017,6,Electrofishing_wholesection,0,0.611529497,0.0206648,0.760332308,0.085689923,0.458028163,47.7768,4.750918981,20431635,380,1.2500153,10.59642198,0.760332308,0.841910892,0.951352131,256.0665894,13.41839695,13.26355535,4.589848278,POINT (4.750918981 47.7768),2040022150,1.70E-06,0.259656356,,,Warm
S12154,2004,2016,4,Electrofishing_backpack,0,0.67924985,0.038754161,0.502158252,0.478721313,0.234904662,65.56726,27.41269,20060751,160,1.2502046,-0.057304382,0.760332308,-0.00393536,0.854777098,160.7525024,0.062180169,4.888759783,33.20856557,POINT (27.41269 65.56726),2040029950,-1.86E-06,0.734095182,,,Cold
S8177,1986,2018,28,Electrofishing_backpack,-0.155371396,0.086563716,0.019814497,0.008060034,0.02121447,0.854477413,66.89819,22.00417,20040244,201,1.2504628,0.450121957,0.187830218,-0.01044539,0.010570734,162.4687958,0.094499812,4.592111916,39.50609296,POINT (22.00417 66.89819),2040030110,-9.93E-06,6.91E-08,0.006238825,0.584403868,Cold
S8496,1987,2018,29,Electrofishing_backpack,-0.0755182,0.068600521,0.022443136,0.001565775,0.189635469,0.269005907,68.38496,21.56532,20019478,461,1.2507732,-0.000851718,0.322563517,-0.000567497,0.200158615,163.8054504,0.005927435,2.930701619,50.69636128,POINT (21.56532 68.38496),2040030100,-7.41E-06,1.43E-06,0,0.765611681,Cold
S8492,1987,2018,27,Electrofishing_backpack,0,0.189451728,0.022443136,0.001565775,0.189635469,0.269005907,68.37757,21.57075,20019478,455,1.2519848,-0.000851718,0.322563517,-0.000567497,0.200158615,163.8054504,0.005927435,2.930701619,50.69636128,POINT (21.57075 68.37757),2040030100,-6.09E-06,0.000628764,0,0.954948858,Cold
S8493,1987,2018,29,Electrofishing_backpack,0,0.083998952,0.022443136,0.001565775,0.189635469,0.269005907,68.38117,21.56825,20019478,461,1.2519848,-0.000851718,0.322563517,-0.000567497,0.200158615,163.8054504,0.005927435,2.930701619,50.69636128,POINT (21.56825 68.38117),2040030100,-8.79E-06,1.72E-06,0.000195481,0.615537836,Cold
S8494,1990,2018,27,Electrofishing_backpack,-0.218003844,0.039234267,0.026799432,0.002527347,0.22728486,0.29278507,68.38113,21.56946,20019478,461,1.2519848,-0.000979614,0.284975268,-0.000694871,0.237301779,163.8052673,0.005813899,2.950552425,50.86981672,POINT (21.56946 68.38113),2040030100,-8.55E-06,7.47E-05,0.056825854,0.258094846,Cold
S8410,1983,2013,10,Electrofishing_backpack,0.225876976,0.020379277,0.018747512,0.007243571,0.218330461,0.336256178,67.73039,23.19388,20027094,246,1.2575073,-0.000244141,1.82E-05,-0.000109728,0.196451465,162.2544403,0.002630516,3.671297848,49.13355645,POINT (23.19388 67.73039),2040030100,-7.61E-06,0.007290358,-0.078007615,0.267257493,Cold
S6634,1992,2017,13,Electrofishing_backpack,0,0.165507801,0.024947046,0.03827423,-0.212639912,0.018423081,62.64484,13.92582,20118539,563,1.2586577,2.900474548,0.070698818,-0.01510191,0.332132117,156.9088745,0.089224525,5.414028633,98.94149734,POINT (13.92582 62.64484),2040031070,-1.45E-06,0.127203688,,,Cold
S8165,1997,2008,7,Electrofishing_backpack,0,0.626224765,0.010932951,0.837011475,-0.018516751,0.976451748,66.83569,21.54556,20040357,227,1.2752674,0.224372016,0.945329871,0.020868073,0.537133857,132.9157867,0.220912889,4.547418474,25.71024677,POINT (21.54556 66.83569),2040030110,-3.30E-06,0.071505416,,,Cold
S8383,1987,2018,30,Electrofishing_backpack,0,0.011308263,0.020004171,0.015681225,-0.225791742,0.241494339,67.73372,20.32395,20027449,465,1.285611,5.046318902,0.001400047,-0.047010828,0.007457008,229.1756134,0.243661731,3.156509706,56.21396373,POINT (20.32395 67.73372),2040030110,-3.83E-06,0.000439352,0,0.72827208,Cold
S8370,1989,2018,30,Electrofishing_backpack,0,0.766226343,0.021594725,0.038493605,-0.291895143,0.454282283,67.67527,20.55569,20028133,427,1.2973992,-0.310262044,0.453662366,-0.033483233,0.211711832,169.0565948,0.497914284,3.395123844,70.80174335,POINT (20.55569 67.67527),2040030110,-3.31E-06,0.0004708,0.00738987,0.402666217,Cold
S6903,1991,2012,11,Electrofishing_backpack,0,0.541721671,0.027192756,0.032109673,-0.093689632,0.324264729,63.94143,18.78124,20095885,310,1.3186836,0.016165597,0.8656491,-0.006120503,0.259354893,145.606308,0.016338782,5.097205443,33.65567599,POINT (18.78124 63.94143),2040030110,-6.54E-06,0.00506931,,,Cold
