Zone,Factor,Effect,CI95_L,CI95_U,p,sig
All,mean_temp,7.223881494693702e-4,-0.0036187544340005352,0.005063530732939275,0.7443124195698825,
All,slope_temp,-0.004912401633555351,-0.007880255139471564,-0.0019445481276391383,0.0011780610615967242,**
All,mean_flow,-1.8963901835416288e-4,-0.0030478616217445654,0.0026685835850362395,0.8965341215084555,
All,mean_organic,-0.0019898876685441403,-0.005432293335684376,0.0014525179985960947,0.2572310222666431,
All,mean_salinity,-0.0010351864639446505,-0.004109526592597026,0.0020391536647077243,0.5092822802151135,
All,HFP_mean,-0.0011190924864526626,-0.004596829909872674,0.0023586449369673483,0.5282419689336729,
All,elevation,0.0032461180828906515,9.440160515528269e-6,0.006482796005265775,0.049335533882475295,*
Cold,mean_temp,0.007749948508827933,-0.020339298792248297,0.03583919580990416,0.5886710879675621,
Cold,slope_temp,-0.022140623241753397,-0.039987917488030086,-0.0042933289954767105,0.01503847600176872,*
Cold,mean_flow,-0.0037774397042700182,-0.013765807565522202,0.006210928156982166,0.4585559468530983,
Cold,mean_organic,-0.22084695431004672,-0.5002147448964871,0.05852083627639362,0.12128591900685608,
Cold,mean_salinity,0.002466443482246292,-0.19650760961694208,0.20144049658143465,0.9806170376977098,
Cold,HFP_mean,0.003695745798248989,-0.007384626067651581,0.01477611766414956,0.5132882631014939,
Cold,elevation,0.00860004255861585,-8.333385107238238e-5,0.017283418968304085,0.052239561264970924,
Intermediate,mean_temp,-0.004531046794517685,-0.01361216357394264,0.004550069984907271,0.32810938219566005,
Intermediate,slope_temp,-0.0038180917723748815,-0.007644673254131989,8.48970938222655e-6,0.050510456165687466,
Intermediate,mean_flow,2.3130888849277873e-4,-0.0032945619943350016,0.0037571797713205593,0.8976898551157122,
Intermediate,mean_organic,-0.001243558739118987,-0.00512048275952617,0.0026333652812881962,0.5295609813614599,
Intermediate,mean_salinity,9.945134482267158e-5,-0.0041744748878112005,0.004373377577456544,0.9636234710673839,
Intermediate,HFP_mean,-0.002071317712314529,-0.006671362453976196,0.002528727029347138,0.377486664686244,
Intermediate,elevation,0.002146706594763494,-0.0016423179517603857,0.005935731141287374,0.2668113800162119,
Warm,mean_temp,-0.020997059287085378,-0.0391940932477392,-0.0028000253264315565,0.023725295530742048,*
Warm,slope_temp,-0.0038645973888195074,-0.008425046027253708,6.958512496146939e-4,0.09673253888517118,
Warm,mean_flow,0.004726339151968481,-0.0012854617338649357,0.010738140037801897,0.123346368099156,
Warm,mean_organic,-0.008195942951093176,-0.01732594701549814,9.34061113311787e-4,0.07850171260324615,
Warm,mean_salinity,-0.0029480010104009587,-0.007516317575074007,0.0016203155542720894,0.20594546333544944,
Warm,HFP_mean,1.712269985410069e-4,-0.006311534709076931,0.006653988706158944,0.958713659078159,
Warm,elevation,0.004671786436465919,-0.0027074679511213144,0.012051040824053151,0.21466189986877535,
