Term,Estimate,Std. Error,df,t value,Pr(>|t|)
(Intercept),0.0216530433574585,0.008732746937040143,3.938628810605152,2.479522596219596,0.0692214660926622
Period_bin,-0.037421729349116195,0.005817377857919826,1767.095733711714,-6.432748613392879,1.609083416417902e-10
mean_temp_z,0.018304296244086415,0.006226409381762913,24.34970409043291,2.9397836091053544,0.007091336949217323
sen_temp_z,-0.0177979982166802,0.010155566303667193,464.1999808720948,-1.7525362628230108,0.08034182316089075
mean_Q_z,0.00896289536066616,0.0033111840313458747,1949.015562808363,2.7068550934703177,0.006851657911026638
mean_organic_z,0.005959991846292893,0.004322574702716112,3263.456888284506,1.378805979350201,0.16804907925661663
mean_salinity_z,-0.00426775557193984,0.0044178117828958035,3985.7279792877493,-0.9660338153071781,0.3340858707131207
HFP_period_z,0.006876982595723641,0.004749639663352568,3102.2663043466414,1.4478956474920188,0.14774728713118215
elevation_z,0.005738436105682657,0.0040422271035888335,387.2095123051693,1.4196223909804246,0.1565221976578301
Period_bin:mean_temp_z,-0.017949696829226473,0.006815042260444402,2889.7127353515284,-2.6338349995875143,0.00848766989032577
Period_bin:sen_temp_z,0.01679243509989491,0.010767865637271093,667.1789808846949,1.5594952301197758,0.11935340923527174
Period_bin:mean_Q_z,-0.024462899633592904,0.004859926325411529,3945.3503053479153,-5.033594749303413,5.028478172532623e-7
Period_bin:mean_organic_z,-0.02016940558749088,0.006115557136794005,3786.178031832156,-3.2980487527689766,9.825853073734652e-4
Period_bin:mean_salinity_z,0.008726693467867636,0.005579812313667761,3984.229137612983,1.5639761657379736,0.11790258395408029
Period_bin:HFP_period_z,-0.014251903437934664,0.006110117670099316,3945.892833973892,-2.3325088332878225,0.019723970823138932
Period_bin:elevation_z,-0.00888659957465688,0.005196127926694156,3862.2708154151237,-1.71023494802805,0.08730274833275624
