Zone,Factor,Early_Effect,Early_CI95_L,Early_CI95_U,Early_p,Early_sig,Late_Effect,Late_CI95_L,Late_CI95_U,Late_p,Late_sig,Delta,Delta_p
All,mean_temp,0.07628327694318056,0.0447913418826996,0.10777521200366152,2.0580054231538313e-6,***,0.026112355220184624,-0.005434453622858104,0.05765916406322735,0.10473310605080922,,-0.050170921722995934,7.597245198267152e-8
All,sen_temp,0.015709870927118695,0.0033481603737936638,0.028071581480443725,0.012744909485441568,*,0.043978265774617574,0.03178960329748555,0.0561669282517496,1.5293369102237363e-12,***,0.02826839484749888,0.0014529704117522966
All,mean_Q,0.005602616925798832,-0.008571068021212172,0.019776301872809838,0.4384930296495859,,-0.015879642476259347,-0.03169906135212315,-6.022360039554392e-5,0.04913418240574501,*,-0.02148225940205818,0.007867695678590254
All,mean_organic,0.0042631578314129386,-0.010504130325985494,0.019030445988811373,0.5715157429174814,,-5.309096159834452e-4,-0.016210203275806793,0.015148384043839905,0.947086858826854,,-0.004794067447396384,0.5990671554962341
All,mean_salinity,-0.008835047857580988,-0.024415408771490076,0.006745313056328101,0.2663862026172946,,0.0043003759291955195,-0.008249764773206974,0.016850516631598013,0.5018430744861507,,0.013135423786776507,0.13710201958220758
All,HFP_period,-0.011783588687852897,-0.028575313590932027,0.0050081362152262325,0.1690061587516766,,-0.0076955261213026045,-0.02232626792762492,0.006935215685019713,0.30258379590209894,,0.004088062566550293,0.6686638966064331
All,elevation,0.013356200430716059,-0.003514986902729403,0.03022738776416152,0.12075317301604964,,-0.019697929851245556,-0.035441213815110006,-0.003954645887381106,0.014194681937409357,*,-0.033054130281961615,1.3694631016458855e-4
Cold,mean_temp,-0.1464668367327696,-0.2898497556276547,-0.0030839178378845034,0.045271890479892725,*,-0.08310416015378573,-0.21320136440351517,0.04699304409594372,0.2105713732264262,,0.06336267657898388,0.31023123591737417
Cold,sen_temp,-0.04069248624829949,-0.08342481699030582,0.0020398444937068314,0.061984816603311656,,0.02584442729896079,-0.028132515035415813,0.07982136963333739,0.34801810039909903,,0.06653691354726028,0.05197543712561329
Cold,mean_Q,0.026345670448965543,-0.029366356963329152,0.08205769786126024,0.35400560776065954,,-4.5426565840088164e-4,-0.05346173047218158,0.05255319915537981,0.9865988951694424,,-0.026799936107366425,0.457731451092543
Cold,mean_organic,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA
Cold,mean_salinity,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA
Cold,HFP_period,-0.001980133646935427,-0.04844076132248792,0.04448049402861707,0.9334278240789303,,-0.041545357794298306,-0.08750982415820373,0.004419108569607116,0.07647270280309593,,-0.03956522414736288,0.20930166406097359
