Variable,Early_Effect,Early_p,Late_Effect,Late_p,Delta,Zone,Model
mean_temp,0.08985356350913636,5.962333497018746e-10,0.041403827917397024,0.004167773764193562,-0.04844973559173933,All,M1
sen_temp,0.01695365145745167,0.004581643734986187,0.048583720683013386,1.394343395479027e-16,0.03163006922556172,All,M1
mean_Q,2.1208486264561913e-4,0.9694375810512376,-0.01975952523642943,0.0016134877008939141,-0.01997161009907505,All,M1
mean_organic,-4.935348902339441e-4,0.9407191044180485,-0.002918770827091971,0.6748689244954802,-0.002425235936858027,All,M1
mean_salinity,-0.010601205001805272,0.12811953353422087,0.0034635859285127636,0.5289386509534532,0.014064790930318035,All,M1
HFP_period,-0.010911180617063643,0.14532828648440183,-0.009327478537097667,0.14911758681888593,0.0015837020799659759,All,M1
elevation,0.01941829393151058,0.0119293276122886,-0.014351238175265763,0.04490778579136777,-0.03376953210677634,All,M1
mean_temp,0.07365264539836261,2.463758849309211e-6,0.023641582178575527,0.13109229321186325,-0.050011063219787086,All,M2
sen_temp,0.015742649009767757,0.012509639063353065,0.04410668316632165,1.274282586532508e-12,0.028364034156553895,All,M2
mean_Q,0.00569205857378404,0.43036670035954244,-0.015759583044411125,0.05044125595951771,-0.021451641618195166,All,M2
mean_organic,0.004259787679636466,0.5713987804603071,-5.802215318188848e-4,0.9421071607718003,-0.004840009211455351,All,M2
mean_salinity,-0.00875178958254116,0.27042267615116705,0.004378546595593488,0.49361968660773664,0.013130336178134649,All,M2
HFP_period,-0.01169008078476665,0.17189635219661023,-0.007734139219319326,0.29945266510659624,0.003955941565447324,All,M2
elevation,0.012706223360713951,0.13642504725665625,-0.020313085559768983,0.010600060578199972,-0.03301930892048294,All,M2
mean_temp,0.09820106874201932,3.457526972694193e-10,0.049589904544876724,0.0014592749372584687,-0.0486111641971426,All,M3
sen_temp,0.017288209083465702,0.0038554545337357664,0.048442203867589066,1.718231100907236e-16,0.031153994784123364,All,M3
mean_Q,8.088943137803018e-5,0.988341219827114,-0.020179967918921668,0.0012930024763861915,-0.0202608573502997,All,M3
mean_organic,-4.446842695279064e-4,0.9466073513925696,-0.002599710603788343,0.709020042401769,-0.0021550263342604366,All,M3
mean_salinity,-0.010888503450267272,0.11821425891443385,0.003236097172192639,0.5564821509260414,0.014124600622459911,All,M3
HFP_period,-0.011073932848118431,0.1396159751943421,-0.009097785340580514,0.15993093053164947,0.0019761475075379172,All,M3
elevation,0.021755900575528314,0.0060450621473015585,-0.012024954160412967,0.10382231041026739,-0.03378085473594128,All,M3
mean_temp,0.08609962045614082,1.4324808259809438e-6,0.035851987709388404,0.04504935774015857,-0.05024763274675242,All,M4
sen_temp,0.015985119590849247,0.0112277285619652,0.04380400489324397,1.8381373600887465e-12,0.027818885302394725,All,M4
mean_Q,0.005408574229925628,0.4533879751329566,-0.016401697877226035,0.04189837048887694,-0.02181027210715166,All,M4
mean_organic,0.00439956798409304,0.5591463702026824,-5.213378967897162e-5,0.9948027835972422,-0.0044517017737720115,All,M4
mean_salinity,-0.009164478129499214,0.24857900106857495,0.004042380725999964,0.5274749279812105,0.013206858855499177,All,M4
HFP_period,-0.01182993294915216,0.16727899073522257,-0.007390830165287809,0.3225668830777869,0.0044391027838643505,All,M4
