Term,Estimate,Std. Error,df,t value,Pr(>|t|),p,sig,Effect_type,Delta_var,Zone,Model
(Intercept),0.06751953692396889,0.0394495600929178,10.778065066907995,1.7115409339150114,0.11556560450093865,0.11556560450093865,,Main,NA,All,M1
Period_bin,-0.06438176231939577,0.008194416950930511,29553.542324071954,-7.856783796202236,4.074368066652416e-15,4.074368066652416e-15,***,Period,NA,All,M1
mean_temp_z,0.089853563509137,0.0145125905322627,232.44047792472105,6.191421394366845,2.675240314951916e-9,2.675240314951916e-9,***,Main,NA,All,M1
sen_temp_z,0.016953651457451757,0.005979981493738181,29354.257091633626,2.8350675458117114,0.004584729833216999,0.004584729833216999,**,Main,NA,All,M1
mean_Q_z,2.1208486264562412e-4,0.005535488226801296,28389.694160983126,0.03831366881402947,0.9694378620459388,0.9694378620459388,,Main,NA,All,M1
mean_organic_z,-4.935348902340872e-4,0.006636575988648512,29694.770243997213,-0.07436589154983696,0.9407197491455086,0.9407197491455086,,Main,NA,All,M1
mean_salinity_z,-0.010601205001805166,0.006967327570715138,29829.11832970484,-1.52155972203228,0.12813003618726418,0.12813003618726418,,Main,NA,All,M1
HFP_period_z,-0.010911180617062461,0.007492776520151529,29529.456575793312,-1.4562266187597173,0.14534061510999371,0.14534061510999371,,Main,NA,All,M1
elevation_z,0.01941829393151059,0.007723364292966282,2059.2851894373875,2.514227374875345,0.012005037797092548,0.012005037797092548,*,Main,NA,All,M1
Period_bin:mean_temp_z,-0.04844973559173979,0.009180447691099212,29729.704478437467,-5.277491601930658,1.3188163784362628e-7,1.3188163784362628e-7,***,Delta,mean_temp_z,All,M1
Period_bin:sen_temp_z,0.031630069225561795,0.008417996032868094,29738.485250362995,3.7574345606795347,1.7199194408634567e-4,1.7199194408634567e-4,***,Delta,sen_temp_z,All,M1
Period_bin:mean_Q_z,-0.01997161009907511,0.007889756377068383,29884.78267356103,-2.5313341939331226,0.011368035316954997,0.011368035316954997,*,Delta,mean_Q_z,All,M1
Period_bin:mean_organic_z,-0.002425235936857603,0.008957403610180659,29850.417115490964,-0.27075211103596675,0.7865835663358376,0.7865835663358376,,Delta,mean_organic_z,All,M1
