Zone,Tag,Factor,Early_Effect,Early_CI_L,Early_CI_U,Early_p,Late_Effect,Late_CI_L,Late_CI_U,Late_p,Delta,Delta_p,Delta_CI_L,Delta_CI_U
All,Full,mean_temp,0.07628327694318056,0.0447913418826996,0.10777521200366152,2.0580054231538313e-6,0.026112355220184624,-0.005434453622858104,0.05765916406322735,0.10473310605080922,-0.050170921722995934,7.597245198267152e-8,-0.06845643637491806,-0.03188540707107493
All,Full,sen_temp,0.015709870927118695,0.0033481603737936638,0.028071581480443725,0.012744909485441568,0.043978265774617574,0.03178960329748555,0.0561669282517496,1.5293369102237363e-12,0.02826839484749888,0.0014529704117522966,0.010868116397099111,0.045668673297898685
All,Full,mean_Q,0.005602616925798832,-0.008571068021212172,0.019776301872809838,0.4384930296495859,-0.015879642476259347,-0.03169906135212315,-6.022360039554392e-5,0.04913418240574501,-0.02148225940205818,0.007867695678590254,-0.03732426600907185,-0.005640252795045542
All,Full,mean_organic,0.0042631578314129386,-0.010504130325985494,0.019030445988811373,0.5715157429174814,-5.309096159834452e-4,-0.016210203275806793,0.015148384043839905,0.947086858826854,-0.004794067447396384,0.5990671554962341,-0.022666893707265736,0.013078758812473373
All,Full,mean_salinity,-0.008835047857580988,-0.024415408771490076,0.006745313056328101,0.2663862026172946,0.0043003759291955195,-0.008249764773206974,0.016850516631598013,0.5018430744861507,0.013135423786776507,0.13710201958220758,-0.0041820208950885205,0.03045286846864205
All,Full,HFP_period,-0.011783588687852897,-0.028575313590932027,0.0050081362152262325,0.1690061587516766,-0.0076955261213026045,-0.02232626792762492,0.006935215685019713,0.30258379590209894,0.004088062566550293,0.6686638966064331,-0.014634044517458407,0.022810169650558966
All,Full,elevation,0.013356200430716059,-0.003514986902729403,0.03022738776416152,0.12075317301604964,-0.019697929851245556,-0.035441213815110006,-0.003954645887381106,0.014194681937409357,-0.033054130281961615,1.3694631016458855e-4,-0.05004021931283028,-0.016068041251092617
All,Trim,mean_temp,0.03364191427390106,0.009031664555193598,0.05825216399260852,0.007378791779412881,-0.003811932507529059,-0.028391147483500637,0.020767282468442522,0.7611536465974549,-0.037453846781430114,1.8028754471238194e-6,-0.05282667469816435,-0.02208101886469673
All,Trim,sen_temp,0.024746852109970217,0.013817288084293545,0.035676416135646885,9.089383283064977e-6,0.03365824196386963,0.023198604635203495,0.04411787929253576,2.844941793912023e-10,0.008911389853899412,0.24980895041100587,-0.006266144939391273,0.024088924647190202
All,Trim,mean_Q,0.007241266939210488,-0.004479987754719074,0.01896252163314005,0.2259548227070001,-0.013302713761778369,-0.026411389515005976,-1.940380085507596e-4,0.046703865514792026,-0.020543980700988857,0.002435593307554441,-0.03382686373438811,-0.007261097667590187
All,Trim,mean_organic,0.009139366201314133,-0.0032180579348586175,0.021496790337486884,0.14718123772474545,0.004853455280012166,-0.008196330553403013,0.017903241113427344,0.46603430284802433,-0.004285910921301967,0.5758220939293295,-0.019300280276961373,0.010728458434358216
All,Trim,mean_salinity,-0.010415995587225639,-0.023424196340027244,0.002592205165575968,0.11655644765191382,0.006938865891277668,-0.003491327700968141,0.017369059483523477,0.19226775169916402,0.017354861478503306,0.01926942505561523,0.0028205104780174312,0.03188921247898922
All,Trim,HFP_period,-0.005600300745226125,-0.019693164542500155,0.0084925630520479075,0.4360613584409813,-0.005338414404167771,-0.017512506843753068,0.006835678035417527,0.3900888414710119,2.6188634105835367e-4,0.9740440656066545,-0.015514371315730616,0.016038143997847042
All,Trim,elevation,0.008384090791918139,-0.005470970548955997,0.022239152132792275,0.23561052093977372,-0.025977304154047996,-0.03878046483577262,-0.013174143472323378,6.987246129514601e-5,-0.034361394945966135,2.4791789989656952e-6,-0.04865816305077242,-0.020064626841159398
Cold,Full,mean_temp,-0.1464668367327696,-0.2898497556276547,-0.0030839178378845034,0.045271890479892725,-0.08310416015378573,-0.21320136440351517,0.04699304409594372,0.2105713732264262,0.06336267657898388,0.31023123591737417,-0.0590456591435409,0.1857710123015797
Cold,Full,sen_temp,-0.04069248624829949,-0.08342481699030582,0.0020398444937068314,0.061984816603311656,0.02584442729896079,-0.028132515035415813,0.07982136963333739,0.34801810039909903,0.06653691354726028,0.05197543712561329,-5.695963666641907e-4,0.1336434234611884
Cold,Full,mean_Q,0.026345670448965543,-0.029366356963329152,0.08205769786126024,0.35400560776065954,-4.5426565840088164e-4,-0.05346173047218158,0.05255319915537981,0.9865988951694424,-0.026799936107366425,0.457731451092543,-0.09755054574880077,0.04395067353407729
Cold,Full,mean_organic,1.4094416660087294,-0.1781272611415341,2.997010593158993,0.08184962028830638,1.1476927577999008,-0.15689729625947524,2.452282811859277,0.08466312662503168,-0.2617489082088287,0.7899969208611177,-2.18871383059057,1.665216014172624
Cold,Full,mean_salinity,0.010666981986835942,-1.131152181157049,1.152486145130721,0.9853914160652669,-0.26181790233735164,-1.0668073515893393,0.5431715469146359,0.5238211436130888,-0.2724848843241876,0.6785402778601288,-1.5614178274632728,1.0164480588148403
Cold,Full,HFP_period,-0.001980133646935427,-0.04844076132248792,0.04448049402861707,0.9334278240789303,-0.041545357794298306,-0.08750982415820373,0.004419108569607116,0.07647270280309593,-0.03956522414736288,0.20930166406097359,-0.10134088334627635,0.02221043505152219
Cold,Full,elevation,-0.004252302037888459,-0.04512183292875083,0.0366172288529739,0.8384113481614164,-0.052146841159867785,-0.09124643670498986,-0.013047245614745712,0.008949179766385753,-0.04789453912197933,0.046732575353782516,-0.09509627651800462,-6.928017259512642e-4
Cold,Trim,mean_temp,-0.1163938086212794,-0.23223926635185854,-5.483508907002665e-4,0.048925375315568176,-0.12004563008347517,-0.2252444000183425,-0.014846860148607852,0.025314023051614874,-0.0036518214621957673,0.9451987064403695,-0.10780683167119146,0.1005031887467343
Cold,Trim,sen_temp,0.005155766193979569,-0.03454484689299995,0.044856379280959084,0.7990838149608981,0.04200494024577303,-0.0036504108219694437,0.0876602913135155,0.07134841712740057,0.036849174051793464,0.2200625483073314,-0.022053464802093928,0.09575181290567818
Cold,Trim,mean_Q,0.0014574479227837836,-0.046409855992036383,0.049324751837603945,0.9524134171739803,-0.010596755321892061,-0.05553450645639064,0.034340995812606516,0.6439533778733094,-0.012054203244675845,0.6963515565764546,-0.07260955720224423,0.04850115071289356
Cold,Trim,mean_organic,0.11606650748391867,-1.2559280586288122,1.4880610735966495,0.8683089109102489,0.9300127275661648,-0.1810145999954046,2.041040055127734,0.10087299353147852,0.8139462200822462,0.3322800170651049,-0.8319130765633181,2.4598055167289288
Cold,Trim,mean_salinity,0.846062618766284,-0.14878105119883367,1.8409062887314016,0.0955448169150385,-0.5542617241992208,-1.235454538360236,0.12693108996179436,0.11076789692127996,-1.4003243429655048,0.014603385397544445,-2.5240186056726825,-0.27663008025840186
Cold,Trim,HFP_period,0.006663554461559818,-0.0334470985978577,0.04677420752097734,0.7447213881807994,-0.0332392907182284,-0.07232229036948513,0.005843708933028338,0.09553245617935903,-0.03990284517978822,0.14008693052024102,-0.09291478867782213,0.013109098318210284
Cold,Trim,elevation,-0.017012928167481272,-0.05253388857424017,0.018508032239277623,0.34786743020216226,-0.049483429089531156,-0.08316199894313164,-0.01580485923593067,0.003979952191777391,-0.03247050092204988,0.11209589850214366,-0.07252926607569944,0.00758826423159871
Intermediate,Full,mean_temp,0.13790201991403037,0.08223327049380998,0.19357076933425077,1.2026442464010635e-6,-0.08734512972897711,-0.1403711927516877,-0.034319066706266534,0.0012445222101281038,-0.22524714964300746,7.924210668988754e-13,-0.2868351157307626,-0.16365918355525277
Intermediate,Full,sen_temp,0.009956092586925909,-0.00749493782767084,0.027407123001522656,0.2634854824343683,0.02972556393153574,0.014310412573608667,0.04514071528946281,1.571652850023571e-4,0.01976947134460983,0.09679221567412119,-0.0035643892440701333,0.04310333193328955
Intermediate,Full,mean_Q,0.005498115141877696,-0.012028104943715156,0.023024335227470546,0.5386495935094623,-0.032371554314154206,-0.05345670008659427,-0.011286408541714147,0.0026203232861571053,-0.0378696694560319,3.118662490380339e-4,-0.05845411857721422,-0.017285220334848608
Intermediate,Full,mean_organic,-0.00839281325830152,-0.026044826784946247,0.009259200268343206,0.3513969825489084,0.020398069041621135,8.335819750457107e-4,0.03996255610819656,0.0410057406414177,0.028790882299922653,0.013382143993085188,0.005977700176521567,0.05160406442332324
Intermediate,Full,mean_salinity,-0.01731329104832572,-0.03912390808855607,0.004497325991904631,0.11975054423546773,-0.008196886668903513,-0.027573842927992052,0.011180069590185027,0.4070429116575697,0.009116404379422207,0.4803252126069687,-0.016201460234243313,0.03443426899308795
Intermediate,Full,HFP_period,-0.007708697244556988,-0.03244085011824062,0.01702345562912664,0.5412685480820654,0.00904876319368822,-0.012278410336627757,0.030375936724004196,0.40564608143214587,0.016757460438245206,0.25246245322161215,-0.011943887387459638,0.04545880826394946
Intermediate,Full,elevation,-0.0064446986705443965,-0.028159035930278867,0.015269638589190074,0.5607642014678818,-0.02365802405214969,-0.043343195991218705,-0.003972852113080672,0.018496652384107793,-0.017213325381605294,0.13996036631573958,-0.040072474970406724,0.0056458242071955635
Intermediate,Trim,mean_temp,0.058752588304742635,0.011106759810237767,0.1063984167992475,0.01565534393569913,-0.08731999999996165,-0.13236323879721845,-0.04227676120270486,1.4495884205884666e-4,-0.1460725883047043,3.224012794678333e-8,-0.19783162732802054,-0.09431354928139093
Intermediate,Trim,sen_temp,0.02637958315607658,0.011225427673688426,0.04153373863846473,6.453411267113984e-4,0.026106954252857008,0.013043733236115934,0.03917017526959808,8.965623025509717e-5,-2.726289032195725e-4,0.9787427492464962,-0.0203283630284984,0.019783105222059158
Intermediate,Trim,mean_Q,0.010096836549285827,-0.004595858674758669,0.02478953177333032,0.17801584410735447,-0.03459328663523422,-0.05224053115517904,-0.016946042115289394,1.2201096967018684e-4,-0.04469012318452005,3.502421336787157e-7,-0.06187802623839228,-0.027502220130645984
Intermediate,Trim,mean_organic,0.006002888412040795,-0.008861134856889955,0.020866911680971545,0.4286298813049125,0.017624275247808564,0.0012299304231019534,0.034018620072515174,0.035117261312617935,0.011621386835767768,0.23408070379760368,-0.007521574916896791,0.030764348588431932
Intermediate,Trim,mean_salinity,-0.02131075396049512,-0.03961732070913351,-0.0030041872118567216,0.02251281322651101,-0.007623250153901349,-0.02380978648068756,0.008563286172884862,0.35597106020175584,0.013687503806593771,0.2059105024162834,-0.007522268788388362,0.03489727640157575
Intermediate,Trim,HFP_period,-7.911232595340431e-4,-0.02162410896091344,0.02004186244184535,0.9406692326096164,0.006506292351115424,-0.011382475992195561,0.024395060694426412,0.47593546249618945,0.007297415610649467,0.552883795041199,-0.016805231283520704,0.03140006250481697
Intermediate,Trim,elevation,0.0011604776255267556,-0.01759201588150764,0.01991297113256115,0.9034611539785766,-0.02838468554102996,-0.045304042036192316,-0.011465329045867605,0.0010085699948786191,-0.029545163166556716,0.0025375170071917402,-0.048725060157317035,-0.01036526617579834
Warm,Full,mean_temp,0.17131530792165828,0.07913510132361976,0.26349551451969677,2.699411666950725e-4,0.14659391552623718,0.06686653998093563,0.22632129107153875,3.136396061161547e-4,-0.024721392395421093,0.6161943657797803,-0.12139796523881866,0.07195518044796811
Warm,Full,sen_temp,0.03316628884784848,0.012936853025859538,0.05339572466983743,0.0013118560212821186,0.08309967540571622,0.0610499909628228,0.10514935984860965,1.506220486812527e-13,0.04993338655786774,0.001071817852319121,0.020021436188833012,0.079845336926903
Warm,Full,mean_Q,-0.04455290747382876,-0.07516182237876966,-0.01394399256888786,0.004333151335979616,0.01242703974601997,-0.016309401439207512,0.04116348093124745,0.3966696382265225,0.056979947219848726,8.79561382566529e-4,0.023414877625721392,0.09054501681398243
Warm,Full,mean_organic,0.05380155959999982,0.014641185372699594,0.09296193382730004,0.007086526811788122,-0.029415433552362494,-0.06091271410797611,0.0020818470032511194,0.06718745305932211,-0.0832169931523623,1.6586911948907856e-4,-0.12651143052012293,-0.039922555784588414
Warm,Full,mean_salinity,-0.03188414623913447,-0.05605204547867723,-0.0077162469995917145,0.009717166130165983,0.012572529583668031,-0.004286248695898434,0.029431307863234495,0.14383597593433073,0.0444566758228025,5.739181084365792e-4,0.019159270309937505,0.06975408133566921
Warm,Full,HFP_period,-0.01959025736741765,-0.04860107736254723,0.009420562627711924,0.18566481900149984,-0.02501160264456928,-0.04855381338199817,-0.0014693919071403945,0.0373154832086255,-0.005421345277151629,0.7327136081021008,-0.0365380103314636,0.02569531977716022
Warm,Full,elevation,0.03477455988147962,8.342101339475771e-4,0.06871490962901167,0.04462869528282275,0.01066796283633461,-0.020516907396898827,0.04185283306956805,0.5025520325239824,-0.024106597045145013,0.1796871699665729,-0.05932303464964223,0.011109840559352789
Warm,Trim,mean_temp,0.11801960703425593,0.04598010993913251,0.19005910412937935,0.0013230362303540857,0.1007843889889169,0.03959509634264462,0.16197368163518916,0.0012455406736731236,-0.017235218045339035,0.677256328440371,-0.09840778811029459,0.0639373520196118
Warm,Trim,sen_temp,0.025968893223005114,0.007834792100428947,0.04410299434558128,0.005004228933554258,0.05101693584106214,0.031628784103678365,0.07040508757844592,2.504781496886074e-7,0.02504804261805703,0.06452120878702053,-0.0015103798939087067,0.05160646513002198
Warm,Trim,mean_Q,-0.042722994555222965,-0.06731716534690882,-0.01812882376353711,6.623916990201156e-4,0.013687761734660533,-0.009107047570034957,0.036482571039356024,0.23923001166897462,0.0564107562898835,8.514980335973019e-5,0.028284159637460504,0.08453735294231073
Warm,Trim,mean_organic,0.026425776916872798,-0.005673972290057512,0.05852552612380311,0.10663169205825741,-0.024908391768775667,-0.05051422766989386,6.974441323425243e-4,0.05657511764695896,-0.05133416868564847,0.005664793958234396,-0.08769692298774646,-0.014971414383544629
Warm,Trim,mean_salinity,-0.01631877536444606,-0.03606142729489809,0.0034238765660059706,0.1052201362370556,0.019466930183770947,0.0057481794989234294,0.033185680868618464,0.005415966622239524,0.03578570554821701,9.278813243013809e-4,0.01460962238612976,0.056961788710305855
Warm,Trim,HFP_period,-0.004737380306826122,-0.028629281410736514,0.019154520797084268,0.6975503277084643,-0.018802594930134933,-0.03791550533023973,3.103154699698636e-4,0.05383744270940554,-0.01406521462330881,0.2935881333304033,-0.04031504482377645,0.0121846155771591
Warm,Trim,elevation,0.016791751629610215,-0.009363534649769172,0.0429470379089896,0.20828284293766222,6.659802077750502e-4,-0.022304027296013277,0.02363598771156338,0.9546836784045325,-0.016125771421835165,0.2906512051316601,-0.04603813376045726,0.01378659091678654
