Zone,Factor,Early_Effect,Early_CI95_L,Early_CI95_U,Early_p,Early_sig,Late_Effect,Late_CI95_L,Late_CI95_U,Late_p,Late_sig,Delta,Delta_CI95_L,Delta_CI95_U,Delta_p,Delta_sig
All,mean_temp,0.038319324553781654,0.017696470960633388,0.058942178146929924,2.7072879905340604e-4,***,0.005286170281301686,-0.015092724967299243,0.025665065529902616,0.6111703403680595,,-0.03303315427247997,-0.05009607474292284,-0.01597023380204035,1.4918046697001233e-4,***
All,sen_temp,-0.003995317683780005,-0.023956431830194518,0.015965796462634504,0.6948390179672239,,0.0043315473613548105,-0.004968688056730052,0.013631782779439673,0.36132387364539104,,0.008326865045134815,-0.013939338017680575,0.030593068107950226,0.46347908213820643,
All,mean_Q,-0.0020828816192910407,-0.010820525845408253,0.0066547626068261725,0.6403448748084376,,-0.016469593592727576,-0.026547064311789367,-0.006392122873665784,0.0013592566722387513,**,-0.014386711973436536,-0.027010415339452247,-0.001763008607421691,0.025511616149830007,*
All,mean_organic,-0.0070498162260266214,-0.01847610013416185,0.004376467682108606,0.22656170177580745,,-0.017427886784449596,-0.02920550734250211,-0.005650266226397083,0.0037286651497707777,**,-0.010378070558422974,-0.026256977495381043,0.005500836378534055,0.20015122468376947,
All,mean_salinity,0.00183156574971646,-0.00920761943916378,0.012870750938596699,0.7450393145245191,,0.005258865891029814,-0.0038816525468175402,0.014399384328877168,0.2594732098070829,,0.0034273001413133537,-0.010878850064893211,0.017733450347520018,0.6386212517284762,
All,HFP_period,-0.002241378751474587,-0.014476763102447776,0.009994005599498604,0.719563378669235,,-0.00879220208396743,-0.019542956078530436,0.0019585519105955775,0.10895640812222702,,-0.006550823332492842,-0.02224477078261125,0.0091431241176263,0.4132227872148754,
All,elevation,0.0016921975018992248,-0.009835881978584125,0.013220276982382574,0.7735752151661338,,-0.008657543051695575,-0.019500672047863474,0.0021855859444723253,0.11760506083182237,,-0.0103497405535948,-0.02386458897869912,0.003165107871509103,0.133338569681147,
Cold,mean_temp,0.004886415612880212,-0.060038527262687116,0.06981135848844754,0.8827280249117802,,0.011773898677846435,-0.0460720148953396,0.06961981225103248,0.6899454577121023,,0.006887483064966223,-0.048585044918973405,0.06236001104888561,0.8074715362701083,
Cold,sen_temp,0.019986507079656452,-0.028104620154489657,0.06807763431380257,0.415327483599744,,0.011745885269831547,-0.01151431029322211,0.0350060808328852,0.32230193008874836,,-0.008240621809824905,-0.061946670735731894,0.04546542711607713,0.7633997827467274,
Cold,mean_Q,-0.018206596031522963,-0.03647779108547798,6.45990224320582e-5,0.05081551893019896,,-0.010295249747072898,-0.02737454828802819,0.0067840487938823964,0.23742443627623375,,0.007911346284450066,-0.01631451491833135,0.03213720748721925,0.521552289380196,
Cold,mean_organic,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,
Cold,mean_salinity,NA,NA,NA,NA,,NA,NA,NA,NA,,NA,NA,NA,NA,
Cold,HFP_period,-0.0011283860552568274,-0.02274105909148928,0.02048428698097562,0.9184958015073209,,-0.002783698435667216,-0.02455843498993692,0.01899103811860249,0.802151800573389,,-0.0016553123804103887,-0.03159622956176888,0.02828560480095066,0.9135943483874243,
Cold,elevation,0.005383256275197126,-0.012174338007189544,0.022940850557583794,0.5478826923655353,,-0.003802471222152444,-0.020640107762269162,0.013035165317964274,0.6580392427892332,,-0.009185727497349569,-0.029731309873366814,0.011359854878665572,0.3802796611199899,
Intermediate,mean_temp,0.06399616720456928,0.02655408982279564,0.10143824458634293,8.081760992325522e-4,***,-0.004577305497744898,-0.04074662416412812,0.03159201316863833,0.8041052524164481,,-0.06857347270231418,-0.11970841970305161,-0.017438525701572907,0.00862462343063231,**
Intermediate,sen_temp,-0.025294093405968717,-0.05148056903890787,8.923822269704292e-4,0.058334950707343396,,0.010861371720239661,-0.0026051928783781837,0.024327936318857504,0.11392458849634299,,0.036155465126208375,0.005222839748881339,0.06708809050352978,0.023276606095353165,*
Intermediate,mean_Q,0.005159420703072896,-0.005506361685447297,0.01582520309159309,0.3430761392309178,,-0.027351376131349643,-0.041893735240695854,-0.012809017022003431,2.275249707034382e-4,***,-0.03251079683442254,-0.050291849285570754,-0.01472974438327495,3.4275227547713073e-4,***
Intermediate,mean_organic,-0.011543636135106849,-0.024845679939446183,0.0017584076692324854,0.08896649984674543,,-0.015340470327138655,-0.029505645410499576,-0.0011752952437777322,0.03378875436923796,*,-0.003796834192031806,-0.023165139268343266,0.01557147088427969,0.7006189597854264,
Intermediate,mean_salinity,0.008116805952379636,-0.007335429943416754,0.02356904184817603,0.30322744037862154,,-0.004893065879630906,-0.018683702333481492,0.00889757057421968,0.4867944701836142,,-0.013009871832010543,-0.033735134686914824,0.00771539102289355,0.21848569929153971,
Intermediate,HFP_period,0.009761438749587988,-0.007168761562925235,0.02669163906210121,0.2584527792080236,,-0.0048182328662373245,-0.019734973560487864,0.010098507828013213,0.5266782201064641,,-0.014579671615825313,-0.03696045902368518,0.007801115792033752,0.20159388353722318,
Intermediate,elevation,-0.010151888923818944,-0.025190294493754657,0.0048865166461167665,0.18580163262730467,,-0.013080382886851325,-0.02621910681693397,5.834104323132125e-5,0.051026007972698094,,-0.0029284939630323803,-0.022328086631149723,0.016471098705084727,0.7672500371368643,
Warm,mean_temp,0.14042538615031236,0.04697985608491374,0.233870916215711,0.003226017138769302,**,0.016897269035746634,-0.05788724344483277,0.09168178151632604,0.6578769684967121,,-0.12352811711456572,-0.23883994848474566,-0.00821628574448531,0.035793456438097525,*
Warm,sen_temp,0.0378026886556101,-0.00793314714617551,0.08353852445739571,0.10523296130527146,,0.0038865386959361955,-0.014601633276052756,0.022374710667925148,0.6803255865971004,,-0.03391614995967391,-0.08337242341550616,0.015540123496160733,0.1784246083933094,
Warm,mean_Q,-0.030769651433863395,-0.05598036877173398,-0.005558934095992812,0.01675073539543879,*,0.004229656114862175,-0.017064111080420538,0.025523423310144885,0.697043465339251,,0.03499930754872557,0.0026175005064331958,0.06738111459101893,0.03417814154884275,*
Warm,mean_organic,0.05008869848607883,0.009547040559617609,0.09063035641254005,0.01545616006515529,*,-0.01973113939392325,-0.05168395925130947,0.012221680463462968,0.22616590195071776,,-0.06981983788000208,-0.12028160348710032,-0.019358072272901643,0.006749939388500708,**
Warm,mean_salinity,-0.020734905320313978,-0.04093091407311911,-5.388965675088529e-4,0.04419229101969327,*,0.014385100613507444,3.465744315492465e-5,0.028735543783859965,0.04944926516495012,*,0.03512000593382142,0.010857612455383109,0.05938239941226052,0.004612199864026761,**
Warm,HFP_period,-0.02338575855202024,-0.053537937406791705,0.006766420302751222,0.12847819880035793,,-0.017070211454030766,-0.040233833081980724,0.006093410173919189,0.1486329890953441,,0.006315547097989475,-0.029657573959405256,0.04228866815538246,0.7304772954051624,
Warm,elevation,0.014758504936596821,-0.014357316598998046,0.04387432647219169,0.32047355339215894,,-0.001978071572173746,-0.026041345628489778,0.022085202484142284,0.8720030017051712,,-0.016736576508770567,-0.05306783055015524,0.019594677532615054,0.36609276371772403,
