Variable,Early_Effect,Early_p,Late_Effect,Late_p,Delta,Zone,Model
mean_temp,0.03843744868514884,1.2505069867630098e-4,0.005639018722715513,0.5708976928147291,-0.032798429962433324,All,M1
sen_temp,-0.003967879529513612,0.6957027104516693,0.004296455956577336,0.3633763791371601,0.008264335486090948,All,M1
mean_Q,-0.002016371117314645,0.6503700346335262,-0.01640450987443951,0.0013803589709312975,-0.014388138757124866,All,M1
mean_organic,-0.006931336173218282,0.23353986933304358,-0.017327310089351594,0.0038651543089353443,-0.010395973916133311,All,M1
mean_salinity,0.0018613919062358216,0.7406965037895146,0.005273294040249176,0.25739757521649204,0.0034119021340133543,All,M1
HFP_period,-0.0020053650023033106,0.7474796235402827,-0.00858193651185896,0.11689224451547787,-0.006576571509555649,All,M1
elevation,0.0018690565657000248,0.7476159787065211,-0.008352305397607722,0.12522531485530095,-0.010221361963307746,All,M1
mean_temp,0.038437449751795076,1.2505049482213116e-4,0.005639021918197426,0.5708974276444629,-0.03279842783359765,All,M2
sen_temp,-0.003967880213550633,0.6957025780198953,0.004296455562198464,0.3633764024547645,0.008264335775749098,All,M2
mean_Q,-0.0020163709787811832,0.6503703372413254,-0.016404509638529022,0.0013803629655145555,-0.01438813865974784,All,M2
mean_organic,-0.006931335296363081,0.2335397839056705,-0.017327309698146477,0.0038651509165233224,-0.010395974401783397,All,M2
mean_salinity,0.0018613920688463539,0.7406963303861581,0.005273294060585171,0.2573975140991697,0.003411901991738817,All,M2
HFP_period,-0.00200536309092873,0.747480005393363,-0.00858193522229176,0.11689341026472923,-0.006576572131363031,All,M2
elevation,0.0018690567002440665,0.7476162272278131,-0.008352304022838285,0.12522527189548155,-0.010221360723082351,All,M2
mean_temp,0.03613793259821043,0.003140339814942789,0.0024635179224396296,0.8360413690119672,-0.0336744146757708,All,M3
sen_temp,-0.002868196778646629,0.7790026534365148,0.005068525612302007,0.28804675877866104,0.007936722390948635,All,M3
mean_Q,-0.0018054587146646654,0.6846767640678162,-0.01608541002272864,0.001744350028186362,-0.014279951308063974,All,M3
mean_organic,-0.007621640713116045,0.19126087834590697,-0.01779584353606934,0.0030636417468638635,-0.010174202822953296,All,M3
mean_salinity,0.0017055185610491761,0.7617465434933994,0.00528499521318001,0.25693586842048916,0.0035794766521308335,All,M3
HFP_period,-0.002957089866863697,0.6359215133958203,-0.009339028103185256,0.08890674701661497,-0.00638193823632156,All,M3
elevation,0.0013092509710423738,0.8299214045481799,-0.00953830096379292,0.10021105720690876,-0.010847551934835293,All,M3
mean_temp,0.036137933390279486,0.003140340649687011,0.0024635190281262357,0.8360413773549014,-0.03367441436215325,All,M4
sen_temp,-0.0028681986161712583,0.7790021227768589,0.0050685249051539635,0.28804570869577534,0.007936723521325222,All,M4
mean_Q,-0.001805459691391386,0.684676142334873,-0.01608541092157318,0.00174435974940427,-0.014279951230181795,All,M4
mean_organic,-0.00762164056476518,0.19126160456827496,-0.01779584389773554,0.0030636474740820675,-0.010174203332970361,All,M4
mean_salinity,0.0017055184886048285,0.7617464889015526,0.005284995079265972,0.2569355636751878,0.0035794765906611435,All,M4
HFP_period,-0.0029570897119516096,0.6359121536070549,-0.0093390285083152,0.08890609651986323,-0.00638193879636359,All,M4
elevation,0.00130924897944999,0.8299217377801472,-0.009538302642631016,0.10021116672001307,-0.010847551622081007,All,M4
mean_temp,0.02734939431878918,1.9766252489110915e-5,-0.00628922631313829,0.3411156803860116,-0.03363862063192747,All,M5
