Term,Estimate,Std. Error,df,t value,Pr(>|t|),Effect_type,Delta_var,Zone,Model
Period_bin,-0.04745392403110675,0.006427649146978932,4761.884074583698,-7.382780694153263,1.8199354488442875e-13,Period,NA,All,M1
mean_temp_z,0.038437448685150324,0.010020173074183238,48.68762366794952,3.8360064642180274,3.6003822723729547e-4,Main,NA,All,M1
sen_temp_z,-0.003967879529513449,0.01014470654088615,3762.5140212675337,-0.39112807388974025,0.6957247168936173,Main,NA,All,M1
mean_Q_z,-0.0020163711173147923,0.00444871862056869,4818.859872618658,-0.45324761786283413,0.6503908549619797,Main,NA,All,M1
mean_organic_z,-0.006931336173218468,0.005818344263673472,5171.99663748516,-1.1912901435712393,0.2335943675395799,Main,NA,All,M1
mean_salinity_z,0.0018613919062357685,0.005624710831286314,5188.966304473206,0.3309311290959445,0.740709870092243,Main,NA,All,M1
HFP_period_z,-0.002005365002303156,0.006228537325248292,5041.001326046569,-0.3219640338629929,0.7474932918137415,Main,NA,All,M1
elevation_z,0.0018690565657000907,0.00580841126011269,788.7534657856295,0.3217844746179059,0.7477012346386551,Main,NA,All,M1
Period_bin:mean_temp_z,-0.03279842996243459,0.0086829539778394485,5012.973867389338,-3.777335460506001,1.6035233459683643e-4,Delta,mean_temp_z,All,M1
Period_bin:sen_temp_z,0.008264335486090879,0.011308193379613347,3578.7814015824724,0.7308272160423078,0.46493253976964855,Delta,sen_temp_z,All,M1
Period_bin:mean_Q_z,-0.014388138757125047,0.006428617016331473,5211.962531540463,-2.2381390461701076,0.025254055830876265,Delta,mean_Q_z,All,M1
Period_bin:mean_organic_z,-0.010395973916133977,0.00808762958609043,5210.86532867777,-1.285416673139132,0.19870384242010072,Delta,mean_organic_z,All,M1
Period_bin:mean_salinity_z,0.003411902134013325,0.007287799572047704,5187.873392730187,0.4681662963262118,0.6396853399353466,Delta,mean_salinity_z,All,M1
Period_bin:HFP_period_z,-0.006576571509554703,0.00799355351934007,5193.129743658876,-0.8227344063742067,0.4106968206180045,Delta,HFP_period_z,All,M1
Period_bin:elevation_z,-0.01022136196330787,0.0068825793206709306,5183.327633586775,-1.4851063078356888,0.13757647693048553,Delta,elevation_z,All,M1
Period_bin,-0.047453922850296655,0.0064276490862354985,4761.884504030016,-7.382780580215082,1.8199369631024138e-13,Period,NA,All,M2
mean_temp_z,0.03843744975179661,0.010020170304418959,48.687689478455255,3.8360076310125635,3.6003648297187337e-4,Main,NA,All,M2
sen_temp_z,-0.003967880213550638,0.010144706430304263,3762.5144357433364,-0.39112814558120557,0.6957246639064066,Main,NA,All,M2
mean_Q_z,-0.00201637097878131,0.00444871861499881,4818.859633788408,-0.4532475872902223,0.6503908769736213,Main,NA,All,M2
mean_organic_z,-0.006931335296363424,0.005818344248720448,5171.996760991413,-1.191289995927577,0.2335944254741114,Main,NA,All,M2
mean_salinity_z,0.001861392068846293,0.005624710835083675,5188.966295698005,0.3309311577825498,0.7407098484245569,Main,NA,All,M2
HFP_period_z,-0.0020053630909283564,0.0062285372896716835,5041.000981069578,-0.32196372882822744,0.7474935228902,Main,NA,All,M2
elevation_z,0.001869056700244147,0.005808410898332668,788.7545535278872,0.32178451782408657,0.7477012017993366,Main,NA,All,M2
Period_bin:mean_temp_z,-0.03279842783359871,0.008682953924570917,5012.973638925339,-3.777335238505196,1.6035247715729417e-4,Delta,mean_temp_z,All,M2
Period_bin:sen_temp_z,0.00826433577574899,0.011308193223638666,3578.781909622623,0.7308272517375463,0.4649325179598659,Delta,sen_temp_z,All,M2
