Zone,Model,N,AIC,BIC,R2_marginal,R2_conditional,Singular,Var_HYBAS,Var_Protocol,Var_SiteID,Var_Residual
All,M1,5215,-686.101122415368,-561.4745294341053,0.021946715274123976,0.08147181269117507,FALSE,0.0031014848788255287,1.7047782290560093e-4,NA,0.05048945906474534
All,M2,5215,-684.101122415368,-552.9152350666704,0.02194671632265087,0.08147178023651606,TRUE,0.0031014839975082647,1.704767556077884e-4,2.5242880620311013e-15,0.05048945919733737
All,M3,5215,-686.3003582520087,-541.9958821684414,0.03749057986750929,0.08803869101403806,FALSE,0.0027971830872029584,NA,NA,0.05046524374144057
All,M4,5215,-684.3003582520109,-533.4365878010088,0.03749058412643851,0.08803875138326091,TRUE,0.0027971863656261874,NA,0,0.05046524352998935
All,M5,5215,-668.6080607374987,-543.981467756236,0.018017593421518787,0.01896995851733969,TRUE,NA,4.960774014322661e-5,0,0.051100868337285964
All,M6,5215,-672.2552152135456,-527.9507391299784,0.020176193086526364,0.020176193086526364,TRUE,NA,NA,0,0.05103608916239978
Cold,M1,1073,-754.819536161157,-660.2334750511737,0.020220390159727104,0.2039536992833367,TRUE,0.006248567590311688,1.3558364203074694e-16,NA,0.027072658402398454
Cold,M2,1073,-753.2654853427563,-653.7012104901423,0.02022792191989,0.2267702813899207,TRUE,0.00616956834779013,0,8.403404446409491e-4,0.02624289669664728
Cold,M3,1073,-753.863232263172,-654.298957410558,0.02111889214009092,0.20227283118668427,FALSE,0.006143139301937462,NA,NA,0.027051849652024094
Cold,M4,1073,-752.2995343621232,-647.7570457668785,0.021077211247720502,0.22502217941971714,FALSE,0.006072876416294931,NA,8.302965395461926e-4,0.0262316152261955
Cold,M5,1073,-714.6927198083068,-620.1066586983236,0.04290955164618657,0.13226435829038263,TRUE,NA,0,0.002719499792557392,0.026409400750208426
Cold,M6,1073,-713.1821144827189,-613.617839630105,0.04333681317443045,0.13194111606148315,FALSE,NA,NA,0.0026964892517737154,0.026417582150955948
Intermediate,M1,3079,-165.04159229587825,-50.42674948531274,0.02445359463351045,0.024453594633511093,TRUE,3.6024319928407196e-17,0,NA,0.05481337356187487
Intermediate,M2,3079,-163.04159229587705,-42.394389337387054,0.024453594633510534,0.02445359463351069,TRUE,8.657337514462956e-18,0,0,0.054813373561874906
Intermediate,M3,3079,-160.89447774441734,-28.18255449007833,0.025040669769633705,0.025040669769633705,TRUE,0,NA,NA,0.054780397807069454
Intermediate,M4,3079,-158.89447774441734,-20.15019434215384,0.025040669769633705,0.025040669769633705,TRUE,0,NA,0,0.054780397807069454
Intermediate,M5,3079,-165.04159229587617,-50.426749485310665,0.02445359463351053,0.024453594633511842,TRUE,NA,0,7.376049538163192e-17,0.05481337356187486
Intermediate,M6,3079,-160.89447774441734,-28.18255449007833,0.0250406697696337,0.02504066976963373,TRUE,NA,NA,1.8245260183463923e-18,0.054780397807069454
Warm,M1,1063,36.34081409917541,130.74897128767242,0.05376041556918047,0.06700104074764246,FALSE,8.29575256287575e-5,7.419222610179167e-4,NA,0.05812504863452759
Warm,M2,1063,37.81440967539652,137.19141724223547,0.05434606996920483,0.09408443767904476,FALSE,6.920383575378983e-5,7.191739763999558e-4,0.001687419400503205,0.05644074866068043
Warm,M3,1063,29.714872889327243,129.0918804561662,0.05918344272172572,0.05918344272172572,TRUE,0,NA,NA,0.05798606054017267
Warm,M4,1063,31.268098068661537,135.61395601384245,0.059746295390429874,0.08478399298143456,TRUE,0,NA,0.0015437874033734328,0.056430865412665
Warm,M5,1063,35.87969302999497,130.28785021849197,0.054274475116518325,0.0941355132785621,FALSE,NA,7.513157212473709e-4,0.0017324364265878403,0.05644466296626563
Warm,M6,1063,29.268098068663026,128.64510563550198,0.0597462952716467,0.08478398733045665,FALSE,NA,NA,0.0015437870619188147,0.05643086574838727
