Term,Estimate,Std. Error,df,t value,Pr(>|t|),Zone
(Intercept),0.026326589137388775,0.01786134929884016,4.867810799978403,1.4739417888825628,0.2020402466132131,All
Period_bin,-0.04758357503320806,0.006446419139971268,4713.9692077514355,-7.381396400082688,1.8417213881442857e-13,All
mean_temp_z,0.03831932455378335,0.010522055191395305,47.90581668073641,3.6418098799861847,6.634417145160443e-4,All
sen_temp_z,-0.003995317683780064,0.010184433010301051,3852.476030946167,-0.39229652546577676,0.6948608319671987,All
mean_Q_z,-0.0020828816192909943,0.004458053016829057,4882.373401892469,-0.4672177767801683,0.6403649263468227,All
mean_organic_z,-0.007049816226026959,0.00582983968585959,5146.451885840869,-1.2092641660672847,0.2266169220395977,All
mean_salinity_z,0.0018315657497163678,0.005632340376644983,5176.35817452208,0.3251873337256256,0.7450524367062151,All
HFP_period_z,-0.002241378751473782,0.0062426254432565295,5077.268830484829,-0.3590442469834525,0.7195769185850578,All
elevation_z,0.0016921975018992857,0.005881784295267066,734.2081408025649,0.2877013873597774,0.7736565150899688,All
Period_bin:mean_temp_z,-0.033033154272481595,0.008703640399572662,5038.672161404682,-3.7953261803076654,1.4918046697001233e-4,All
Period_bin:sen_temp_z,0.008326865045134826,0.011356776122975847,3676.2394158434336,0.7332067617577473,0.46347908213820643,All
Period_bin:mean_Q_z,-0.01438671197343697,0.006439282430556265,5193.983746886932,-2.2342104308343185,0.025511616149830007,All
Period_bin:mean_organic_z,-0.010378070558423493,0.008099744492715492,5195.152357875648,-1.2812836957705287,0.20015122468376947,All
Period_bin:mean_salinity_z,0.0034273001413134023,0.00729748338758135,5175.648119540228,0.46965507960537245,0.6386212517284762,All
Period_bin:HFP_period_z,-0.006550823332492476,0.008005392653824335,5181.249757182202,-0.8183013145973568,0.4132227872148754,All
Period_bin:elevation_z,-0.01034974055359501,0.006893844895512919,5175.357738793881,-1.5013016263727477,0.133338569681147,All
