Term,Estimate,Std. Error,df,t value,Pr(>|t|),Zone
(Intercept),0.028691649086407436,0.008786811769362897,0.549856695072111,3.265308264192824,0.3278000062697586,Intermediate
Period_bin,-0.04334040632810489,0.009422620444566297,3062.9323784723424,-4.599612876596109,4.404403574194802e-6,Intermediate
mean_temp_z,0.06399616720456815,0.019103419143172762,73.95120637174391,3.3499849804342117,0.00127477025128581,Intermediate
sen_temp_z,-0.025294093405967014,0.013360700516353805,64.57934051346948,-1.8931711982471624,0.06281736390296437,Intermediate
mean_Q_z,0.005159420703073047,0.0054418229293732336,106.7412146995357,0.9481052158503966,0.34521745390581904,Intermediate
mean_organic_z,-0.011543636135106672,0.006786883073147837,1788.8416846442162,-1.7008744678067065,0.0891403627171959,Intermediate
mean_salinity_z,0.008116805952379682,0.007883935157714623,3059.2364768174602,1.0295373807631065,0.3033086122867134,Intermediate
HFP_period_z,0.009761438749588429,0.008638051526154395,914.8847806247893,1.1300509981947466,0.25875091261768784,Intermediate
elevation_z,-0.01015188892381906,0.007672796394177633,35.28706598827095,-1.3231015658805496,0.19431157204925492,Intermediate
Period_bin:mean_temp_z,-0.06857347270231226,0.026061725914878587,1127.278609584725,-2.631194607996541,0.00862462343063231,Intermediate
Period_bin:sen_temp_z,0.03615546512620556,0.015235888081286439,34.93276632826358,2.373046121979178,0.023276606095353165,Intermediate
Period_bin:mean_Q_z,-0.03251079683442285,0.009068108944561993,2729.2324562210315,-3.585179339284304,3.4275227547713073e-4,Intermediate
Period_bin:mean_organic_z,-0.0037968341920317874,0.009872986564379323,1331.4226743361814,-0.38456794884441126,0.7006189597854264,Intermediate
Period_bin:mean_salinity_z,-0.013009871832010637,0.010570084399270919,3030.272463255172,-1.2308200521944748,0.21848569929153971,Intermediate
Period_bin:HFP_period_z,-0.014579671615825716,0.011414460949301593,3059.130036567889,-1.2772983043687043,0.20159388353722318,Intermediate
Period_bin:elevation_z,-0.0029284939630324996,0.009893420881085729,2654.935214706816,-0.29600418280305885,0.7672500371368643,Intermediate
