Species,R2,RMSE
Phoxinus bigerri,0.9890393493525185,0.0265475596564197
Luciobarbus graellsii,0.9648112215852874,0.05541527682003901
Lota lota,0.7793402081404299,0.25197309974104776
Parachondrostoma miegii,0.6712188701178771,0.10601151325031044
Barbatula quignardi,0.6627191106285595,0.10766335869147418
Barbus barbus,0.6526830238835325,0.1356300085482815
Cottus gobio,0.6110187131042253,0.39363991414088423
Salmo trutta,0.594687220818077,0.46272315147406934
Tinca tinca,0.5761079032949733,0.12616341647512366
Gobio gobio,0.5264844481370956,0.13635855071498088
Barbatula barbatula,0.4578525813625246,0.7980690663503887
Salmo salar,0.41430910298475165,0.348524073969339
Perca fluviatilis,0.36970752367667137,0.439964420983239
Phoxinus phoxinus,0.35605256329917834,0.5399614454618691
Gasterosteus aculeatus,0.34475841161735454,0.5037524276662084
Esox lucius,0.31587069742828666,0.21081438906498434
Cottus poecilopus,0.18643115580856784,0.2894830905565341
Rutilus rutilus,0.068512838775458,0.2507426620935179
Leuciscus leuciscus,0.050538977220588976,0.2392557538528074
Squalius cephalus,0.049353946129415016,0.08676845206019872
Alburnus alburnus,0.02160715566089444,0.38231265949359405
Abramis brama,0.006783440006014163,0.09850576024535002
Anguilla anguilla,-0.017701913796833724,0.5551194049813956
Thymallus thymallus,-0.09875562049432718,0.3079330997619796
