period,zone,slope,SE,z,p,sig
early,All,0.027954905359280684,0.0030289498648921696,9.229240035729637,2.7255877887447753e-20,***
early,Cold,0.09832233398193314,0.007552795008650114,13.018006429318671,9.666167310136893e-39,***
early,Intermediate,-0.006321340876347151,0.0037764039167197225,-1.6739048618077972,0.09414929855299856,
early,Warm,0.0639276197788149,0.0062196860871552235,10.27827110291579,8.829724528193316e-25,***
full,All,0.006324684783072327,0.0016367279377614305,3.86422485811702,1.1144252726103173e-4,***
full,Cold,0.07845614771717532,0.0037151825929304153,21.117709763840075,5.468246910848311e-99,***
full,Intermediate,-0.011703651651991945,0.0020566043566093983,-5.690764786323347,1.2647162500462557e-8,***
full,Warm,0.003814270595267742,0.0032362234203681403,1.1786178207788403,0.23855039221802884,
late,All,-0.020201634557582834,0.0028748942743067885,-7.026913907104974,2.1115155879621477e-12,***
late,Cold,0.03840238726577704,0.007039574859619465,5.455213991126297,4.891390325948715e-8,***
late,Intermediate,-0.03710570172840924,0.003946042523767573,-9.403269606172854,5.289333565031999e-21,***
late,Warm,-0.020325551874658596,0.005121534045780788,-3.968645271703925,7.2282387106692035e-05,***
